BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT,DEPARTMENT
2021,MAYOR,FY16 JUSTICE ASSISTANCE GRANT FUND,MAYOR,0.00,16183.57,16183.57,0.00,0.00,16183.57,0.00,0.00,0.00,,58W,46T146,46
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),YOUTH EMPLOYMENT PROGRAM,2800000.00,,0.00,10000000.00,12800000.00,0.00,0.00,0.00,0.00,SPECIAL,100,000609,56
2021,CULTURAL AFFAIRS,WARNER CTR CULTURAL AFF TRUST,CITY PLANNING,0.00,49750.00,49750.00,0.00,0.00,49750.00,0.00,0.00,0.00,,577,30T168,30
2021,MAYOR,FY 2018 UASI HOMELAND SECURITY GRANT FUND,LAWA GRANT ALLOCATION,0.00,,245000.00,0.00,0.00,245000.00,0.00,0.00,245000.00,,62K,46T904,46
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,ACCESSIBLE HOUSING FUND,TECHNICAL SERVICES,4337179.00,24950.00,0.00,0.00,0.00,4337179.00,24950.00,0.00,4287279.00,SPECIAL,10D,43T844,43
2021,COUNCIL,STATE AB1290 CITY FUND,COUNCIL,0.00,505281.00,505281.00,0.00,0.00,505281.00,0.00,0.00,0.00,,53P,28T128,28
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,US TREASURY EMERGENCY RENTAL ASSISTANCE FUND,ADMIN RESERVE ERAP FED,0.00,,2594573.30,0.00,0.00,2594573.30,0.00,0.00,2594573.30,,64D,43TA60,43
2021,WATER AND POWER,D17-02079 UPPER STONE CANYON RESERVOIR WATER QUALITY IMPR DS,INTEREST EXPENSE,0.00,191654.80,0.00,0.00,0.00,0.00,0.00,0.00,-191654.80,,M2D,988210,98
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SIDEWALK AND CURB REPAIR FUND,REIMBURSEMENT OF GENERAL FUND COSTS,4877947.00,0.00,-53997.66,0.00,0.00,4823949.34,0.00,0.00,4823949.34,,57F,50T299,50
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,MEASURE A PROJECTS AND PROGRAMS FUND,CASTLE PEAK PARK,0.00,,651600.00,0.00,0.00,651600.00,0.00,0.00,651600.00,,63T,89THHI,89
2021,WATER AND POWER,D17-02079 UPPER STONE CANYON RESERVOIR WATER QUALITY IMPR DS,RETIREMENT OF PRINCIPAL,0.00,287177.79,0.00,0.00,0.00,0.00,0.00,0.00,-287177.79,,M2D,988110,98
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,DCT INFLUENT & EFFLUENT FLOW MONITORING INFRASTRUCTURE,0.00,,1176000.00,0.00,0.00,1176000.00,0.00,0.00,1176000.00,,70W,50TJHH,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSRB DEBT SERVICE FD 2013-A,INTEREST EXPENSE,0.00,3749500.00,0.00,0.00,0.00,0.00,0.00,0.00,-3749500.00,,W79,508210,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSSRB DEBT SERV REF 2012-A,INTEREST EXPENSE,0.00,568259.38,0.00,0.00,0.00,0.00,0.00,0.00,-568259.38,,W71,508210,50
2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,SENIOR MEALS EMERGENCY RESPONSE PROGRAM,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,63M,10T697,10
2021,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 3 MONTH,0.00,,44170.00,0.00,0.00,44170.00,44170.00,0.00,0.00,,47Y,02TDD1,2
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"GOB SERIES 2018-A (TAXABLE), PROP HHH CONSTRUCTION FUND",SUN COMMONS,0.00,6644060.87,12000000.00,0.00,0.00,12000000.00,5355939.13,0.00,0.00,,17C,43T945,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ENGINEERING SPECIAL SERVICE FD,BROADWAY STREETSCAPE IMPLEMENTATION-N/O 11ST ST. TO 9TH ST.,0.00,,7000000.00,0.00,0.00,7000000.00,0.00,0.00,7000000.00,,682,50TVGB,50
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,MEASURE A PROJECTS AND PROGRAMS FUND,VINEYARD RECREATION CENTER,0.00,,480000.00,0.00,0.00,480000.00,0.00,0.00,480000.00,,63T,89THHT,89
2021,CITY CLERK,COUNCIL DIST 7 REAL PROP TRUST,COUNCIL,0.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,,689,14T128,14
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,VISION ZERO EDUCATION AND OUTREACH,1000000.00,,-511573.00,0.00,0.00,488427.00,0.00,488427.00,0.00,SPECIAL,59C,94TG24,94
2021,CITY CLERK,COUNC DIST8 PUB BENEFIT TR FD,COUNCIL,0.00,150000.00,150000.00,0.00,0.00,150000.00,0.00,0.00,0.00,,49F,14T128,14
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,MEASURE A PROJECTS AND PROGRAMS FUND,HOLLENBECK PARK,0.00,,304700.00,0.00,0.00,304700.00,0.00,0.00,304700.00,,63T,89THHL,89
2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,HCID GENERAL FUND PROGRAM,0.00,2118576.00,2118576.00,0.00,0.00,2118576.00,0.00,0.00,0.00,,63M,10T10A,10
2021,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,ELECTRIC VEHICLE CARSHARE PROGRAM,400000.00,,-150000.00,0.00,0.00,250000.00,0.00,0.00,250000.00,SPECIAL,528,9404PT,94
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SUBVENTIONS AND GRANTS,TRANSPORTATION,0.00,180687.63,180687.63,0.00,0.00,180687.63,0.00,0.00,0.00,,305,50T194,50
2021,TRANSPORTATION,LOCAL TRANSPORTATION,BIKESHARE CAPITAL EXPANSION,2000000.00,,-650000.00,0.00,0.00,1350000.00,0.00,0.00,1350000.00,SPECIAL,207,94TD19,94
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,TRANSIT ORIENTED DEVELOPMENT (TOD) PLANNING GRANT,ECONOMIC AND WORKFORCE DEVELOPMENT,0.00,,269807.00,0.00,0.00,269807.00,0.00,0.00,269807.00,,60N,22T122,22
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,OLYMPIC BLVD AND MATEO ST PHASE II STREET IMPROVEMENTS,1171452.00,,-971452.00,0.00,0.00,200000.00,0.00,200000.00,0.00,,59V,50TVFD,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,FRANKLIN AND WHITLEY INTERSECTION IMPROVEMENTS,0.00,,287625.00,0.00,0.00,287625.00,0.00,0.00,287625.00,SPECIAL,59V,50TVFW,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",HWRP INDUSTRIAL WATER DISTRIBUTION MODIFICATION,0.00,18108.41,18108.41,0.00,0.00,18108.41,0.00,0.00,0.00,,75R,50TDK6,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",HWRP SERVICE WATER FAC FLOW IMPROVEMENTS,1951000.00,1312667.02,-638332.98,0.00,0.00,1312667.02,0.00,0.00,0.00,,75R,50TDAM,50
2021,NON-DEPARTMENTAL - GENERAL,RESERVE,AVAILABLE - CITY CLERK,0.00,4580607.88,0.00,0.00,0.00,0.00,0.00,0.00,-4580607.88,,101,621014,62
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB DEBT SERVICE FUND, REFUNDING SERIES 2017-C",INTEREST EXPENSE,0.00,1959986.45,0.00,0.00,0.00,0.00,0.00,0.00,-1959986.45,,W88,508210,50
2021,CITY CLERK,BUSINESS IMPROVEMENT TRUST FND,GENERAL BENEFIT BUDGET,0.00,961253.92,1153431.00,0.00,0.00,1153431.00,0.00,0.00,192177.08,,659,140305,14
2021,CITY ADMINISTRATIVE OFFICER,WILSHIRE GRAND HOTEL PROJECT TRUST FUND,HOTEL DEVELOPMENT INCENTIVE PAYMENT,9100000.00,460631.52,0.00,0.00,0.00,9100000.00,0.00,0.00,8639368.48,,59D,10T957,10
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSRB DEBT SERVICE FUND, REFUNDING SERIES 2015-B",INTEREST EXPENSE,0.00,1029375.00,0.00,0.00,0.00,0.00,0.00,0.00,-1029375.00,,W82,508210,50
2021,MAYOR,FY 20 KU GRANT FUND,DEPARTMENT ON DISABILITY,0.00,,8000.00,0.00,0.00,8000.00,8000.00,0.00,0.00,,64A,46T965,46
2021,TRANSPORTATION,BICYCLE PLAN TRUST FUND,MOBILITY HUBS CASE 16-44685,0.00,,75000.00,0.00,0.00,75000.00,0.00,0.00,75000.00,,55C,94TN22,94
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,VISION ZERO CORRIDOR PROJECTS - SB1,8701450.00,,1837852.00,0.00,0.00,10539302.00,0.00,0.00,10539302.00,SPECIAL,59V,50TKGD,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)","HWRP PRIMARY TANKS B0, B5 AND C0 UPGRADES",2958000.00,1045039.69,-1912960.31,0.00,0.00,1045039.69,0.00,0.00,0.00,,75R,50TDAL,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,US TREASURY EMERGENCY RENTAL ASSISTANCE FUND,RENTAL ASSISTANCE ERAP STATE,0.00,,128940000.00,0.00,0.00,128940000.00,128940000.00,0.00,0.00,,64D,43TA49,43
2021,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,GENERAL FUND (GENERAL BUDGET),GENERAL MUNICIPAL ELECTIONS 2020,13000000.00,,-7000000.00,0.00,3499025.00,2500975.00,0.00,0.00,2500975.00,SPECIAL,100,580310,58
2021,GENERAL SERVICES,MICLA LEASE REV COM PAPER NTES,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,97.32,97.32,0.00,0.00,97.32,0.00,0.00,0.00,,298,40T299,40
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,HCID PROGRAM DELIVERY,0.00,,1398488.00,0.00,0.00,1398488.00,0.00,0.00,1398488.00,,424,43T728,43
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,NORTH ATWATER MULTIMODAL BRIDGE OVER LOS ANGELES RIVER,693314.00,,-693314.00,0.00,0.00,0.00,0.00,0.00,0.00,,59C,94TV42,94
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,DCT SCREW PUMP INLET GATE REHABILITATION,0.00,,1284000.00,0.00,0.00,1284000.00,0.00,0.00,1284000.00,,70W,50TJHD,50
2021,CITY EMPLOYEES RETIREMENT SYSTEM,CITY EMPLOYEES RETIREMENT,PRINTING & BINDING,114000.00,50456.17,-8537.50,0.00,0.00,105462.50,19933.33,0.00,35073.00,,800,162120,16
2021,WATER AND POWER,D17-02082 ELYSIAN RESERVOIR WATER QUALITY IMPRVMNT DEBT SVC,INTEREST EXPENSE,0.00,65945.91,0.00,0.00,0.00,0.00,0.00,0.00,-65945.91,,M1V,988210,98
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"GOB SERIES 2018-A (TAXABLE), PROP HHH CONSTRUCTION FUND",11604 VANOWEN APARTMENTS,0.00,2814856.75,4900000.00,0.00,0.00,4900000.00,2085143.25,0.00,0.00,,17C,43TA25,43
2021,ZOO,ZOO ENTERPRISE TRUST FUND,INFORMATION TECHNOLOGY AGENCY,0.00,9142.15,9142.15,0.00,0.00,9142.15,0.00,0.00,0.00,,40E,87T132,87
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),1221 SOUTH FIGUEROA PLACE,0.00,30000.00,30000.00,0.00,0.00,30000.00,0.00,0.00,0.00,SPECIAL,100,00T755,54
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSRB DEBT SERVICE FD 2010-A,INTEREST EXPENSE,0.00,5068002.30,0.00,0.00,0.00,0.00,0.00,0.00,-5068002.30,,W59,508210,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,ACCESSIBLE HOUSING FUND,PLAINTIFF COUNSEL,0.00,277545.00,552000.00,0.00,0.00,552000.00,274455.00,0.00,0.00,,10D,43T280,43
2021,CITY ADMINISTRATIVE OFFICER,HHAP,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,908467.00,908467.00,0.00,0.00,908467.00,0.00,0.00,0.00,,62Y,10T299,10
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),11471 CHANDLER BOULEVARD,0.00,30000.00,30000.00,0.00,0.00,30000.00,0.00,0.00,0.00,SPECIAL,100,00T752,54
2021,WATER AND POWER,D15-02014 EAGLE ROCK RESERVOIR COVER REPLACEMENT DEBT SVC FD,INTEREST EXPENSE,0.00,26720.54,0.00,0.00,0.00,0.00,0.00,0.00,-26720.54,,M1H,988210,98
2021,INFORMATION TECHNOLOGY AGENCY,TELECOM LIQ DMGE &LOST FR FEES,CITY CLERK,309927.00,249683.75,17238.50,0.00,0.00,327165.50,0.00,0.00,77481.75,,342,32114T,32
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOME INVESTMENT PARTSHIP PROGR,CITY ADMINISTRATIVE OFFICER,22412.00,17095.55,0.00,0.00,0.00,22412.00,0.00,0.00,5316.45,,561,43T110,43
2021,MAYOR,FY20 CORONAVIRUS EMERGENCY SUPPLEMENTAL FUND,MAYOR,0.00,,364305.00,0.00,0.00,364305.00,0.00,0.00,364305.00,,63W,46T146,46
2021,CULTURAL AFFAIRS,CULTURAL AFFAIRS DEPT TRUST,MADRID THEATRE - RENTAL,0.00,,900.00,0.00,0.00,900.00,0.00,0.00,900.00,,844,30012T,30
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,ENGINEERING SPECIAL SERVICES,61000.00,,-61000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,540,94T682,94
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,PERSHING SQ PARKING OPERATION,0.00,2451.63,122405.41,0.00,0.00,122405.41,0.00,0.00,119953.78,,302,89810M,89
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,MEASURE A PROJECTS AND PROGRAMS FUND,ANGELES MESA PARK,0.00,,500500.00,0.00,0.00,500500.00,0.00,0.00,500500.00,,63T,89THHH,89
2021,MAYOR,GENERAL FUND (GENERAL BUDGET),CONTINGENT EXPENSE,0.00,859.08,520.91,10000.00,0.00,10520.91,0.00,0.00,9661.83,EXPENSES,100,004620,46
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY LA RISE MEASURE H FUND,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,,25322.00,0.00,0.00,25322.00,0.00,0.00,25322.00,,59N,22T299,22
2021,CITY ADMINISTRATIVE OFFICER,INNOVATION FUND,OFFICE OF THE CITY ATTORNEY - CLAIMSUNIT MODERNIZATION,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,105,10T666,10
2021,TRANSPORTATION,SPECIAL PARKING REVENUE,BLOSSOM PLAZA EASEMENTS AND IMPROVEMENTS,146500.00,,-146500.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94TS12,94
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),STAY HOUSED LA,0.00,,0.00,500000.00,0.00,500000.00,0.00,0.00,500000.00,SPECIAL,100,000414,56
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,POLICE,0.00,780000.00,780000.00,0.00,0.00,780000.00,0.00,0.00,0.00,,385,94T170,94
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,ENVIRONMENTAL CONSULTANT,20000.00,19945.00,0.00,0.00,0.00,20000.00,0.00,0.00,55.00,SPECIAL,424,43T594,43
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY YOUTH JOB PROGRAM,ECONOMIC AND WORKFORCE DEVELOPMENT,495009.00,159410.57,718235.00,0.00,0.00,1213244.00,0.00,0.00,1053833.43,,56E,22T122,22
2021,NON-DEPARTMENTAL - GENERAL,GENERAL FUND (GENERAL BUDGET),GEN FUND-VARIOUS PROGRAMS,0.00,14717436.00,0.00,14717436.00,0.00,14717436.00,0.00,0.00,0.00,SPECIAL,100,620551,62
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SEWER CAPITAL FUND,DCT CAPITAL EQP REPLC PROG (CERP),60000.00,,0.00,0.00,0.00,60000.00,56146.13,0.00,3853.87,,761,50TJB7,50
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,TRAFFIC STUDIES,400000.00,,-150000.00,0.00,0.00,250000.00,0.00,250000.00,0.00,SPECIAL,59C,94TV47,94
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,MEASURE H D6 CRIMINAL RECORD,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,424,43TCV0,43
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,MEASURE A PROJECTS AND PROGRAMS FUND,DEL REY LAGOON,0.00,,467800.00,0.00,0.00,467800.00,0.00,0.00,467800.00,,63T,89THHJ,89
2021,RECREATION AND PARKS,RECREATION AND PARKS,CAMP FOOD,320130.00,5195.36,-200000.00,0.00,0.00,120130.00,0.00,0.00,114934.64,EXPENSES,302,004590,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB DEBT SERVICE FUND, SERIES 2017-A",INTEREST EXPENSE,0.00,5516281.25,0.00,0.00,0.00,0.00,0.00,0.00,-5516281.25,,W86,508210,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,CV 19-LA'S BUSINESS SOURCE,0.00,,2000000.00,0.00,0.00,2000000.00,0.00,0.00,2000000.00,,424,43T8CV,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,ENTERPRISE STREET SIPHON MODIFICATION,0.00,,792000.00,0.00,0.00,792000.00,0.00,0.00,792000.00,,70W,50TA3F,50
2021,EMERGENCY OPERATIONS BOARD,EMERGENCY OPERATIONS FUND,PRINTING AND BINDING,15000.00,672.34,0.00,0.00,0.00,15000.00,9327.66,0.00,5000.00,,392,342120,34
2021,TRANSPORTATION,TRANSPORTATION REVIEW FEE FUND,TRANSPORTATION,0.00,175000.00,175000.00,0.00,0.00,175000.00,0.00,0.00,0.00,,50Y,94T194,94
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSRB DEBT SERVICE FD 2010-B,INTEREST EXPENSE,0.00,2604224.00,0.00,0.00,0.00,0.00,0.00,0.00,-2604224.00,,W61,508210,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSRB DEBT SERVICE FUND, REFUNDING SERIES 2015-D",INTEREST EXPENSE,0.00,2402875.00,0.00,0.00,0.00,0.00,0.00,0.00,-2402875.00,,W84,508210,50
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION,5557084.00,2440811.47,-12913.00,0.00,0.00,5544171.00,0.00,0.00,3103359.53,,385,94T194,94
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOUSING OPPOR FOR PERSON W/AID,CARES ACT - PROJECT SPONSOR ADM,0.00,,271025.00,0.00,0.00,271025.00,0.00,0.00,271025.00,,569,43T912,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",COCHRAN ADAMS RELIEF SEWER,0.00,5363431.50,5363431.50,0.00,0.00,5363431.50,0.00,0.00,0.00,,75R,50TAF9,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,CITYWIDE RECYCLING TRUST FUND,CAPITAL INFRASTRUCTURE,5000000.00,288201.45,-4000000.00,0.00,0.00,1000000.00,201798.55,0.00,510000.00,SPECIAL,46D,50T997,50
2021,MAYOR,FY16 CCTA GRANT FUND,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,,10000.00,0.00,0.00,10000.00,0.00,0.00,10000.00,,60H,46T299,46
2021,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING STUDIES,500000.00,,-500000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94TS09,94
2021,MAYOR,FY2020 LPDM FUND,CONTRACTUAL,0.00,,386352.37,0.00,0.00,386352.37,0.00,0.00,386352.37,,63R,46T304,46
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,CV 19-PALLET SHELTERS,0.00,,8000000.00,0.00,0.00,8000000.00,0.00,0.00,8000000.00,,424,43T9CV,43
2021,CULTURAL AFFAIRS,GENERAL FUND (GENERAL BUDGET),EL GRITO,150800.00,150800.00,0.00,0.00,0.00,150800.00,0.00,0.00,0.00,SPECIAL,100,009841,30
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,RIVERSIDE DR LIGHTING IMPROVEMENT UNIT 2,0.00,,901000.00,0.00,0.00,901000.00,0.00,0.00,901000.00,,59V,50TKFS,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",DCT BERM IMPROVEMENTS,2365000.00,,-2365000.00,0.00,0.00,0.00,0.00,0.00,0.00,,75R,50TJE9,50
2021,MAYOR,FY17 SHSP GRANT,POLICE,0.00,,73484.28,0.00,0.00,73484.28,0.00,0.00,73484.28,,60S,46T170,46
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSRB DEBT SERVICE FUND, SERIES 2015-A",INTEREST EXPENSE,0.00,4484825.00,0.00,0.00,0.00,0.00,0.00,0.00,-4484825.00,,W81,508210,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ST LIGHTING MAINTENANCE ASSESS,BOYLE HEIGHTS STREET LIGHTS UPGRADE,0.00,,627353.00,0.00,0.00,627353.00,0.00,0.00,627353.00,,347,50TBHU,50
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,MEASURE A PROJECTS AND PROGRAMS FUND,PALMS RECREATION CENTER,0.00,,495000.00,0.00,0.00,495000.00,0.00,0.00,495000.00,,63T,89THHN,89
2021,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PAVEMENT PRESERVATION OVERTIME,700000.00,,-700000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,51Q,94TC01,94
2021,WATER AND POWER,D17-02081 HEADWORKS WEST RESERVOIR DEBT SERVICE,INTEREST EXPENSE,0.00,1164040.32,0.00,0.00,0.00,0.00,0.00,0.00,-1164040.32,,M2H,988210,98
2021,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BICYCLE PLAN/PROGRAM - OTHER,1300000.00,,-1300000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,51Q,94T482,94
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",ENTERPRISE STREET SIPHON MODIFICATION,792000.00,,-792000.00,0.00,0.00,0.00,0.00,0.00,0.00,,75R,50TA3F,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COVID-19 FEDERAL RELIEF FUND,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,237166.34,282901.00,0.00,0.00,282901.00,0.00,0.00,45734.66,,63M,43T299,43
2021,OFFICE OF FINANCE,"GOB REFUNDING SERIES 2018-C (TAXABLE), DEBT SERVICE FUND",GOB SER - INTEREST,378015.00,378015.00,0.00,0.00,0.00,378015.00,0.00,0.00,0.00,,A77,398210,39
2021,PUBLIC ACCOUNTABILITY,GENERAL FUND (GENERAL BUDGET),TRAVEL,10000.00,,0.00,0.00,10000.00,0.00,0.00,0.00,0.00,EXPENSES,100,002130,11
2021,COUNCIL,GENERAL FUND (GENERAL BUDGET),TRAVEL,24845.00,7089.07,51366.02,30000.00,24845.00,81366.02,10000.43,0.00,64276.52,EXPENSES,100,002130,28
2021,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,GENERAL FUND (GENERAL BUDGET),POLICE DEPARTMENT SWORN OVERTIME - CASH PAYOUT,5000000.00,,0.00,0.00,5000000.00,0.00,0.00,0.00,0.00,SPECIAL,100,580313,58
2021,CITY CLERK,COUNCIL DIST10 REAL PROP TRUST,COUNCIL,0.00,87000.00,87000.00,0.00,0.00,87000.00,0.00,0.00,0.00,,692,14T128,14
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),"COMMUNITY BEAUTIFICATION, HOMELESS OUTREACH & JOBS - CD 14",0.00,,0.00,1650000.00,0.00,1650000.00,0.00,0.00,1650000.00,SPECIAL,100,000420,56
2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,DISABILITY,0.00,800000.00,800000.00,0.00,0.00,800000.00,0.00,0.00,0.00,,63M,10T165,10
2021,NON-DEPARTMENTAL - GENERAL,RESERVE,AVAILABLE - HOUSING,0.00,1602278.00,0.00,0.00,0.00,0.00,0.00,0.00,-1602278.00,,101,621043,62
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LOS ANGELES PERFORMANCE PARTNERSHIP PILOT,REIMBURSEMENT OF GENERAL FUND COSTS,3544.00,,-3544.00,0.00,0.00,0.00,0.00,0.00,0.00,,58E,22T299,22
